,,,,,,,,,,
coupon_name,tier,receipts_count,audience_segment,region,description,date_used,limit_per_user,coupons_released,expires_at,referral_trigger
Casa Amor 3,Basic,3,Reality TV / College,Multi,For loyalty and commitment questions inspired by reality shows,,1,Optional,Optional,
VIP Villa 5,Premium,5,Reality TV / Dating,Multi,Exclusive pack for deep dive into complex dating situations,,1,,,
The Final Rose,Premium,3,Reality TV / Dating,Multi,For end-of-season style clarity on relationships,,1,,,
Love Bomb Loot,Basic,5,Reality TV / Dating,Multi,For situations where affection feels too much too fast,,1,,,
K-Drama Cliffhanger,Basic,3,K-Drama fans / College,Multi,For ambiguous endings and mixed signals,,1,,,
Binged But Betrayed,Premium,5,TV Obsessed / Dating,Multi,For over‑invested situations that end badly,,1,,,
Season 2 Energy,Premium,3,TV Obsessed / Dating,Multi,For relationships moving past the initial excitement,,1,,,
Ghosted 3,Basic,3,Dating / College,Multi,For radio silence and ghosting scenarios,,1,,,
Green Flag Audit,Premium,5,Dating / College,Multi,Checklist for healthy relationship signals,,1,,,
WTF Was That Text?,Premium,3,Dating / College,Multi,Decode the most confusing messages,,1,,,
Friday Night Receipts,Premium,5,Dating / College,Multi,For weekend flings and recurring late‑night texts,,1,,,
Uni Survival Kit,Basic,3,Students,UK/AU,For navigating uni life and crushes,,1,,,
Cuffing Season Credits,Premium,5,Students / Dating,US/CA,For finding clarity during cuffing season,,1,,,
Exam Week Spiral,Premium,3,Students,Multi,For stress‑induced texting loops,,1,,,
Cafeteria Confessions,Basic,5,Students,Multi,For lunchtime gossip and first hookups,,1,,,
Retrograde Pack,Basic,3,Astrology / Dating,Multi,For Mercury retrograde chaos,,1,,,
Venus Rx Special,Premium,5,Astrology / Dating,Multi,Drop during Venus retrograde to decode love messes,,1,,,
Moon Feelings 3,Basic,3,Astrology / Dating,Multi,For over‑emotional texting loops,,1,,,
'k.' Pack,Basic,3,Dating / College,Multi,For dismissive one‑letter replies,,1,,,
Don’t Be Weird 5,Premium,5,Dating / College,Multi,For awkward conversations about relationship status,,1,,,
You Up?,Basic,3,Dating / College,Multi,For late‑night booty call clarification,,1,,,
Red Flag Starter Pack,Premium,5,Dating / College,Multi,For chaotic situationships and clear warnings,,1,,,
Freshers' FOMO,Basic,3,Students,UK/AU,For first‑year students navigating social chaos,,1,,,
Dorm Room Diaries,Basic,5,Students,Multi,For gossip and early campus relationships,,1,,,
Tute Group Red Flags,Basic,3,Students,AU,For group assignments causing red flags,,1,,,
Late Lecture Lurker,Premium,3,Students / Dating,Multi,For late‑night conversations with exes or crushes,,1,,,
Finals Week Delulu Drop,Basic,3,Students,Multi,For delusional optimism during exam season,,1,,,
Crush Confusion Pack,Premium,5,Dating / College,Multi,For undefined friendships or situationships,,1,,,
Bestie… Run.,Premium,5,Toxic Relationships,Multi,For savage reality checks when it's time to leave,,1,,,
The Audacity Drop,Premium,5,Toxic Relationships,Multi,For unbelievable behaviors that demand a response,,1,,,
Emotional Olympics,Premium,5,Toxic Relationships,Multi,For roller‑coaster relationships,,1,,,
Delulu Gold Pack,Premium,5,Toxic Relationships,Multi,For those deep in denial about their situationship,,1,,,
Love Island Loyalty Test,Premium,3,Reality TV / Dating,Multi,For testing loyalty inspired by love island challenges,,1,,,
Euphoria Mode,Premium,5,TV / Dating,Multi,"For dark, chaotic relationships like in Euphoria",,1,,,
Too Hot To Text,Premium,3,TV / Dating,Multi,"For flirty, high‑tension texting games",,1,,,
Sage vs. The Bachelorette,Premium,5,Reality TV,Multi,For comparing real life to reality dating shows,,1,,,
Broke Up Over BeReal,Basic,3,Dating / Social Media,Multi,For breakups sparked by social media posts,,1,,,
Lecture Left on Read,Basic,3,College,Multi,For ambiguous replies when texting during lectures,,1,,,
Cafeteria Crush Crisis,Basic,5,College,Multi,For lunchtime crush confusion,,1,,,
Friend Zone Finals,Premium,5,College/Dating,Multi,For clarifying status at the end of a semester,,1,,,
Double Text Drag,Premium,3,Dating,Multi,For analyzing persistent texting patterns,,1,,,
Screenshot & Send,Premium,3,Dating,Multi,For screenshot-worthy moments,,1,,,
Ghost or Grow Up,Premium,5,Dating,Multi,For confronting ghosting vs maturity,,1,,,
Sage's Sass Sampler,Premium,3,Sage's Sass,Multi,Sample the full sass of Sage,,1,,,
Dragging Season,Premium,5,Sage's Sass,Multi,For intense roast sessions,,1,,,
Simp Season Cancelled,Basic,3,College/Dating,Multi,For telling yourself not to be a simp,,1,,,
Breadcrumbs Burnout,Premium,5,Sage's Sass/Dating,Multi,For those done with breadcrumbing,,1,,,
